nace_r2;geo;n2015
B05;BE10;0
B05;BE2;0
B05;BE21;0
B05;BE22;0
B05;BE23;0
B05;BE24;0
B05;BE25;0
B05;BE3;0
B05;BE31;0
B05;BE32;0
B05;BE33;0
B05;BE34;0
B05;BE35;0
B05;BG;12013
B05;BG3;7728
B05;BG31;0
B05;BG32; 
B05;BG33;0
B05;BG34; 
B05;BG4;4285
B05;BG41;4285
B05;BG42;0
B05;CY;0
B05;CY0;0
B05;CY00;0
B05;CZ;18716
B05;CZ0;18716
B05;CZ01; 
B05;CZ02; 
B05;CZ03;0
B05;CZ04; 
B05;CZ05; 
B05;CZ06;0
B05;CZ07;0
B05;CZ08; 
B05;CZZ; 
B05;CZZZ; 
B05;DE;26808
B05;DE1;0
B05;DE11;0
B05;DE12;0
B05;DE13;0
B05;DE14;0
B05;DE2;0
B05;DE21;0
B05;DE22;0
B05;DE23;0
B05;DE24;0
B05;DE25;0
B05;DE26;0
B05;DE27;0
B05;DE3;0
B05;DE30;0
B05;DE4; 
B05;DE40; 
B05;DE41; 
B05;DE42; 
B05;DE5;0
B05;DE50;0
B05;DE6;0
B05;DE60;0
B05;DE7;0
B05;DE71;0
B05;DE72;0
B05;DE73;0
B05;DE8;0
B05;DE80;0
B05;DE9; 
B05;DE91; 
B05;DE92;0
B05;DE93;0
B05;DE94;0
B05;DEA;18299
B05;DEA1; 
B05;DEA2; 
B05;DEA3; 
B05;DEA4;0
B05;DEA5; 
B05;DEB;0
B05;DEB1;0
B05;DEB2;0
B05;DEB3;0
B05;DEC;0
B05;DEC0;0
B05;DED; 
B05;DED1; 
B05;DED2;0
B05;DED3; 
B05;DED4; 
B05;DED5; 
B05;DEE; 
B05;DEE0; 
B05;DEF;0
B05;DEF0;0
B05;DEG;0
B05;DEG0;0
B05;DK;0
B05;DK0;0
B05;DK01;0
B05;DK02;0
B05;DK03;0
B05;DK04;0
B05;DK05;0
B05;EE;0
B05;EE0;0
B05;EE00;0
B05;EL;316
B05;EL1; 
B05;EL11; 
B05;EL12; 
B05;EL13; 
B05;EL14; 
B05;EL2; 
B05;EL21; 
B05;EL22; 
B05;EL23; 
B05;EL24; 
B05;EL25; 
B05;EL3; 
B05;EL30; 
B05;EL4;0
B05;EL41;0
B05;EL42;0
B05;EL43;0
B05;EL5; 
B05;EL51;0
B05;EL52;0
B05;EL53; 
B05;EL54;0
B05;EL6;1
B05;EL61; 
B05;EL62;0
B05;EL63;0
B05;EL64; 
B05;EL65;0
B05;ELZ;0
B05;ELZZ;0
B05;ES;2844
B05;ES1;1746
B05;ES11; 
B05;ES12;1746
B05;ES13; 
B05;ES2;235
B05;ES21; 
B05;ES22;0
B05;ES23;0
B05;ES24; 
B05;ES3;394
B05;ES30;394
B05;ES4;465
B05;ES41; 
B05;ES42; 
B05;ES43;0
B05;ES5; 
B05;ES51; 
B05;ES52; 
B05;ES53; 
B05;ES6; 
B05;ES61; 
B05;ES62;0
B05;ES63;0
B05;ES64;0
B05;ES7;0
B05;ES70;0
B05;FI;0
B05;FI1;0
B05;FI13; 
B05;FI18; 
B05;FI19;0
B05;FI1A; 
B05;FI1B;0
B05;FI1C;0
B05;FI1D;0
B05;FI2;0
B05;FI20;0
B05;FIZ; 
B05;FIZZ; 
B05;FR;2
B05;FR1;0
B05;FR10;0
B05;FR2;0
B05;FR21;0
B05;FR22;0
B05;FR23;0
B05;FR24;0
B05;FR25;0
B05;FR26;0
B05;FR3;2
B05;FR30;2
B05;FR4;0
B05;FR41;0
B05;FR42;0
B05;FR43;0
B05;FR5;0
B05;FR51;0
B05;FR52;0
B05;FR53;0
B05;FR6;0
B05;FR61;0
B05;FR62;0
B05;FR63;0
B05;FR7;0
B05;FR71;0
B05;FR72;0
B05;FR8;0
B05;FR81;0
B05;FR82;0
B05;FR83;0
B05;FR9; 
B05;FR91; 
B05;FR92; 
B05;FR93; 
B05;FR94; 
B05;FRA;0
B05;FRA1;0
B05;FRA2;0
B05;FRA3;0
B05;FRA4;0
B05;FRA5; 
B05;FRZ;0
B05;FRZZ;0
B05;HR;0
B05;HR0;0
B05;HR03;0
B05;HR04;0
B05;HU;124
B05;HU1;3
B05;HU10;3
B05;HU2;72
B05;HU21; 
B05;HU22;0
B05;HU23; 
B05;HU3;49
B05;HU31; 
B05;HU32;0
B05;HU33; 
B05;IE; 
B05;IE0; 
B05;IE01; 
B05;IE02; 
B05;IS;12:00 AM
B05;IS0;12:00 AM
B05;IS00;12:00 AM
B05;IT;0
B05;ITC;0
B05;ITC1;0
B05;ITC2;0
B05;ITC3;0
B05;ITC4;0
B05;ITD; 
B05;ITD1; 
B05;ITD2; 
B05;ITD3; 
B05;ITD4; 
B05;ITD5; 
B05;ITE; 
B05;ITE1; 
B05;ITE2; 
B05;ITE3; 
B05;ITE4; 
B05;ITF;0
B05;ITF1;0
B05;ITF2;0
B05;ITF3;0
B05;ITF4;0
B05;ITF5;0
B05;ITF6;0
B05;ITG;0
B05;ITG1;0
B05;ITG2;0
B05;ITH;0
B05;ITH1;0
B05;ITH2;0
B05;ITH3;0
B05;ITH4;0
B05;ITH5;0
B05;ITI;0
B05;ITI1;0
B05;ITI2;0
B05;ITI3;0
B05;ITI4;0
B05;LT;0
B05;LT0;0
B05;LT00;0
B05;LU;0
B05;LU0;0
B05;LU00;0
B05;LV;0
B05;LV0;0
B05;LV00;0
B05;LVZ; 
B05;LVZZ; 
B05;MT;0
B05;MT0;0
B05;MT00;0
B05;NL;0
B05;NL1;0
B05;NL11;0
B05;NL12;0
B05;NL13;0
B05;NL2;0
B05;NL21;0
B05;NL22;0
B05;NL23;0
B05;NL3;0
B05;NL31;0
B05;NL32;0
B05;NL33;0
B05;NL34;0
B05;NL4;0
B05;NL41;0
B05;NL42;0
B05;NO;219 d
B05;NO0;219 d
B05;NO01;0 d
B05;NO02;0 d
B05;NO03;0 d
B05;NO04;0 d
B05;NO05;0 d
B05;NO06;0 d
B05;NO07;219 d
B05;PL;103530
B05;PL1; d
B05;PL11; d
B05;PL12; 
B05;PL2;89370
B05;PL21;4092
B05;PL22;85278
B05;PL3; d
B05;PL31; d
B05;PL32;0
B05;PL33; d
B05;PL34;0
B05;PL4;1739
B05;PL41; 
B05;PL42; d
B05;PL43; d
B05;PL5; d
B05;PL51; d
B05;PL52;0
B05;PL6;0
B05;PL61;0
B05;PL62;0
B05;PL63;0
B05;PT;0
B05;PT1;0
B05;PT11;0
B05;PT15;0
B05;PT16;0
B05;PT17;0
B05;PT18;0
B05;PT2;0
B05;PT20;0
B05;PT3;0
B05;PT30;0
B05;RO;17150
B05;RO1;94
B05;RO11;93
B05;RO12;1
B05;RO2;0
B05;RO21;0
B05;RO22;0
B05;RO3;45
B05;RO31;34
B05;RO32;11
B05;RO4;17011
B05;RO41;10945
B05;RO42;6066
B05;SE;0
B05;SE1;0
B05;SE11;0
B05;SE12;0
B05;SE2;0
B05;SE21;0
B05;SE22;0
B05;SE23;0
B05;SE3;0
B05;SE31;0
B05;SE32;0
B05;SE33;0
B05;SEZ; 
B05;SEZZ; 
B05;SI; 
B05;SI0; 
B05;SI01; 
B05;SI02; 
B05;SI03; 
B05;SI04;0
B05;SK; 
B05;SK0; 
B05;SK01;0
B05;SK02; 
B05;SK03;0
B05;SK04;0
B05;SKZ; 
B05;SKZZ; 
B05;UK;2486
B05;UKC;254
B05;UKC1; 
B05;UKC2; 
B05;UKD; 
B05;UKD1; 
B05;UKD2; 
B05;UKD3;0
B05;UKD4;0
B05;UKD5; 
B05;UKD6;0
B05;UKD7;0
B05;UKE; 
B05;UKE1;0
B05;UKE2; 
B05;UKE3; 
B05;UKE4; 
B05;UKF;89
B05;UKF1; 
B05;UKF2; 
B05;UKF3;0
B05;UKG;0
B05;UKG1;0
B05;UKG2;0
B05;UKG3;0
B05;UKH;0
B05;UKH1;0
B05;UKH2;0
B05;UKH3;0
B05;UKI;0
B05;UKI1; 
